Turkey,1,1,Ghana,26/05/2006,Bochum,Friendly
USA,2,0,Venezuela,26/05/2006,Cleveland,Friendly
Denmark,1,1,Paraguay,27/05/2006,Aarhus,Friendly
France,1,0,Mexico,27/05/2006,Saint-Denis,Friendly
Georgia,1,3,New_Zealand,27/05/2006,Altenkirchen,Friendly
Germany,7,0,Luxembourg,27/05/2006,Freiburg,Friendly
Netherlands,1,0,Cameroon,27/05/2006,Rotterdam,Friendly
Portugal,4,1,Cape_Verde_Islands,27/05/2006,Evora,Friendly
Romania,0,0,Colombia,27/05/2006,Chicago,Friendly
Serbia_and_Montenegro,1,1,Uruguay,27/05/2006,Belgrade,Friendly
Spain,0,0,Russia,27/05/2006,Albacete,Friendly
Switzerland,1,1,Côte_d'Ivoire,27/05/2006,Basel,Friendly
Wales,2,1,Trinidad_and_Tobago,27/05/2006,Graz,Friendly
Croatia,2,2,IR_Iran,28/05/2006,Osijek,Friendly
FYR_Macedonia,2,1,Ecuador,28/05/2006,Madrid,Friendly
Morocco,0,1,Mali,28/05/2006,Colombes,Friendly
Turkey,1,1,Estonia,28/05/2006,Hamburg,Friendly
USA,1,0,Latvia,28/05/2006,East_Hartford,Friendly
Ukraine,4,0,Costa_Rica,28/05/2006,Kyiv,Friendly
Jamaica,1,4,Ghana,29/05/2006,Leicester,Friendly
Argentina,2,0,Angola,30/05/2006,Salerno,Friendly
Chile,1,1,Côte_d'Ivoire,30/05/2006,Vittel,Friendly
Czech_Republic,1,0,Costa_Rica,30/05/2006,Jablonec,Friendly
England,3,1,Hungary,30/05/2006,Manchester,Friendly
Germany,2,2,Japan,30/05/2006,Leverkusen,Friendly
Libya,1,2,Uruguay,30/05/2006,Rades,Friendly
Poland,1,2,Colombia,30/05/2006,Chorzow,Friendly
Tunisia,3,0,Belarus,30/05/2006,Rades,Friendly
Estonia,1,1,New_Zealand,31/05/2006,Tallinn,Friendly
France,2,0,Denmark,31/05/2006,Lens,Friendly
Georgia,0,1,Paraguay,31/05/2006,DöRnbirn,Friendly
IR_Iran,5,2,Bosnia_and_Herzegovina,31/05/2006,Tehran,Friendly
Saudi_Arabia,0,1,Turkey,31/05/2006,Offenbach/Main,Friendly
Singapore,0,0,Malaysia,31/05/2006,Singapore,Friendly,5,4,PSO
Slovenia,3,1,Trinidad_and_Tobago,31/05/2006,Celje,Friendly
Switzerland,1,1,Italy,31/05/2006,Geneva,Friendly
Netherlands,2,1,Mexico,01/06/2006,Eindhoven,Friendly
Norway,0,0,Korea_Republic,01/06/2006,Oslo,Friendly
Angola,2,3,Turkey,02/06/2006,Arnhem,Friendly
Germany,3,0,Colombia,02/06/2006,Moenchengladbach,Friendly
