Sport,Event,Competition,Gender,Athlete,Country,Place Finish
Curling,Team,GSOC Tour Challenge Tier 1,Men,Kevin Koe,CAN,9
Curling,Team,GSOC Tour Challenge Tier 1,Men,John Epping,CAN,9
Curling,Team,GSOC Tour Challenge Tier 1,Men,John Morris,CAN,9
Curling,Team,GSOC Tour Challenge Tier 1,Men,Brad Gushue,CAN,3
Curling,Team,GSOC Tour Challenge Tier 1,Men,Niklas Edin,SWE,3
Curling,Team,GSOC Tour Challenge Tier 1,Men,Pat Simmons,CAN,5
Curling,Team,GSOC Tour Challenge Tier 1,Men,Reid Carruthers,CAN,9
Curling,Team,GSOC Tour Challenge Tier 1,Men,Steve Laycock,CAN,5
Curling,Team,GSOC Tour Challenge Tier 1,Men,Steffen Walstad,NOR,1
Curling,Team,GSOC Tour Challenge Tier 1,Men,John Shuster,USA,2
Curling,Team,Masters of Curling,Women,Rachel Homan,CAN,9
Curling,Team,Masters of Curling,Women,Jennifer Jones,CAN,3
Curling,Team,Masters of Curling,Women,Jamie Sinclair,USA,5
Curling,Team,Masters of Curling,Women,Silvana Tirinzoni,SUI,9
Curling,Team,Masters of Curling,Women,Allison Flaxey,CAN,9
Curling,Team,Masters of Curling,Women,Anna Hasselborg,SWE,9
Curling,Team,Masters of Curling,Women,Eve Muirhead,SCO,1
Curling,Team,Masters of Curling,Women,Anna Sidorova,RUS,9
Curling,Team,Masters of Curling,Women,Sherry Middaugh,CAN,9
Curling,Team,Masters of Curling,Women,Val Sweeting,CAN,9
Curling,Team,Masters of Curling,Women,Jacqueline Harrison,CAN,9
Curling,Team,Masters of Curling,Women,Kerri Einarson,CAN,3
Curling,Team,Masters of Curling,Women,Alina Paetz,SUI,9
Curling,Team,Masters of Curling,Women,Casey Scheidegger,CAN,2
Curling,Team,Masters of Curling,Women,Michelle Englot,CAN,9
Curling,Team,Masters of Curling,Men,Brad Jacobs,CAN,5
Curling,Team,Masters of Curling,Men,Mike McEwen,CAN,3
Curling,Team,Masters of Curling,Men,Thomas Ulsrud,NOR,9
Curling,Team,Masters of Curling,Men,Kyle Smith,SCO,9
Curling,Team,Masters of Curling,Men,Peter De Cruz,SUI,5
Curling,Team,Masters of Curling,Men,Kevin Koe,CAN,3
Curling,Team,Masters of Curling,Men,John Epping,CAN,9
Curling,Team,Masters of Curling,Men,John Morris,CAN,9
Curling,Team,Masters of Curling,Men,Brad Gushue,CAN,1
Curling,Team,Masters of Curling,Men,Niklas Edin,SWE,2
