Competition Name,Sport Name,Event (Weight Category),Gender,Match Date,Athlete 1 Name,Athlete 1 Country,Result 1,Result Value 1,Athlete 2 Name,Athlete 2 Country,Result 2,Result Value 2
Meridian Canadian Open,Curling,Team,Men,1/18/18,Peter De Cruz,SUI,LOST,3,Brad Jacobs,CAN,WON,6
Meridian Canadian Open,Curling,Team,Men,1/18/18,John Epping,CAN,LOST,7,Jason Gunnlaugson,CAN,WON,8
Meridian Canadian Open,Curling,Team,Men,1/18/18,Brad Gushue,CAN,LOST,3,Mike McEwen,CAN,WON,6
Meridian Canadian Open,Curling,Team,Men,1/18/18,John Shuster,USA,LOST,5,Bruce Mouat,SCO,WON,8
Meridian Canadian Open,Curling,Team,Men,1/18/18,Niklas Edin,SWE,LOST,4,Reid Carruthers,CAN,WON,8
Meridian Canadian Open,Curling,Team,Men,1/18/18,Chang-Min Kim,KOR,WON,5,Rui Liu,CHN,LOST,4
Meridian Canadian Open,Curling,Team,Men,1/18/18,Mike McEwen,CAN,WON,6,Bruce Mouat,SCO,LOST,1
Meridian Canadian Open,Curling,Team,Men,1/18/18,John Morris,CAN,LOST,5,Kevin Koe,CAN,WON,6
Meridian Canadian Open,Curling,Team,Men,1/19/18,Team Bottcher,CAN,WON,8,John Epping,CAN,LOST,1
Meridian Canadian Open,Curling,Team,Men,1/19/18,Reid Carruthers,CAN,LOST,3,Peter De Cruz,SUI,WON,8
Meridian Canadian Open,Curling,Team,Men,1/19/18,Chang-Min Kim,KOR,LOST,3,John Shuster,USA,WON,6
Meridian Canadian Open,Curling,Team,Men,1/19/18,Kevin Koe,CAN,WON,7,Brad Gushue,CAN,LOST,6
Meridian Canadian Open,Curling,Team,Men,1/19/18,Thomas Ulsrud,NOR,LOST,5,Niklas Edin,SWE,WON,6
Meridian Canadian Open,Curling,Team,Men,1/19/18,John Shuster,USA,LOST,3,Reid Carruthers,CAN,WON,9
Meridian Canadian Open,Curling,Team,Men,1/19/18,Kevin Koe,CAN,WON,7,John Epping,CAN,LOST,4
Meridian Canadian Open,Curling,Team,Men,1/19/18,Niklas Edin,SWE,WON,8,Bruce Mouat,SCO,LOST,7
Meridian Canadian Open,Curling,Team,Men,1/20/18,Brad Jacobs,CAN,WON,7,Reid Carruthers,CAN,LOST,3
Meridian Canadian Open,Curling,Team,Men,1/20/18,Peter De Cruz,SUI,WON,7,Team Bottcher,CAN,LOST,6
Meridian Canadian Open,Curling,Team,Men,1/20/18,Jason Gunnlaugson,CAN,LOST,3,Kevin Koe,CAN,WON,6
Meridian Canadian Open,Curling,Team,Men,1/20/18,Mike McEwen,CAN,LOST,2,Niklas Edin,SWE,WON,3
Meridian Canadian Open,Curling,Team,Men,1/20/18,Brad Jacobs,CAN,LOST,2,Peter De Cruz,SUI,WON,5
Meridian Canadian Open,Curling,Team,Men,1/20/18,Kevin Koe,CAN,LOST,5,Niklas Edin,SWE,WON,6
Meridian Canadian Open,Curling,Team,Men,1/21/18,Peter De Cruz,SUI,WON,5,Niklas Edin,SWE,LOST,3
Meridian Canadian Open,Curling,Team,Women,1/16/18,Silvana Tirinzoni,SUI,LOST,4,Team Rocque,CAN,WON,8
Meridian Canadian Open,Curling,Team,Women,1/16/18,Anna Hasselborg,SWE,WON,8,EunJung Kim,KOR,LOST,2
Meridian Canadian Open,Curling,Team,Women,1/16/18,Chelsea Carey,CAN,LOST,4,Kerri Einarson,CAN,WON,6
Meridian Canadian Open,Curling,Team,Women,1/16/18,Val Sweeting,CAN,LOST,2,Michelle Englot,CAN,WON,9
Meridian Canadian Open,Curling,Team,Women,1/17/18,Casey Scheidegger,CAN,LOST,3,Allison Flaxey,CAN,WON,7
Meridian Canadian Open,Curling,Team,Women,1/17/18,Alina Paetz,SUI,LOST,0,Nina Roth,USA,WON,8
Meridian Canadian Open,Curling,Team,Women,1/17/18,EunJung Kim,KOR,LOST,1,Chelsea Carey,CAN,WON,9
Meridian Canadian Open,Curling,Team,Women,1/17/18,Jennifer Jones,CAN,LOST,3,Darcy Robertson,CAN,WON,5
Meridian Canadian Open,Curling,Team,Women,1/17/18,Rachel Homan,CAN,WON,7,Jamie Sinclair,USA,LOST,2
Meridian Canadian Open,Curling,Team,Women,1/17/18,Team Rocque,CAN,LOST,3,Michelle Englot,CAN,WON,7
Meridian Canadian Open,Curling,Team,Women,1/17/18,Anna Hasselborg,SWE,LOST,4,Kerri Einarson,CAN,WON,8
Meridian Canadian Open,Curling,Team,Women,1/17/18,Rachel Homan,CAN,WON,7,Nina Roth,USA,LOST,1
Meridian Canadian Open,Curling,Team,Women,1/17/18,Darcy Robertson,CAN,LOST,4,Allison Flaxey,CAN,WON,5
Meridian Canadian Open,Curling,Team,Women,1/17/18,Silvana Tirinzoni,SUI,WON,6,Val Sweeting,CAN,LOST,5
Meridian Canadian Open,Curling,Team,Women,1/17/18,Jamie Sinclair,USA,WON,9,Alina Paetz,SUI,LOST,2
Meridian Canadian Open,Curling,Team,Women,1/18/18,Jennifer Jones,CAN,WON,5,Casey Scheidegger,CAN,LOST,4
Meridian Canadian Open,Curling,Team,Women,1/18/18,Darcy Robertson,CAN,LOST,5,Team Rocque,CAN,WON,7
Meridian Canadian Open,Curling,Team,Women,1/18/18,Anna Hasselborg,SWE,WON,7,Nina Roth,USA,LOST,4
Meridian Canadian Open,Curling,Team,Women,1/18/18,Chelsea Carey,CAN,WON,9,Jamie Sinclair,USA,LOST,2
Meridian Canadian Open,Curling,Team,Women,1/18/18,Allison Flaxey,CAN,WON,9,Michelle Englot,CAN,LOST,4
Meridian Canadian Open,Curling,Team,Women,1/18/18,Kerri Einarson,CAN,LOST,3,Rachel Homan,CAN,WON,7
Meridian Canadian Open,Curling,Team,Women,1/18/18,Jennifer Jones,CAN,WON,6,Silvana Tirinzoni,SUI,LOST,4
Meridian Canadian Open,Curling,Team,Women,1/18/18,Team Rocque,CAN,WON,6,Anna Hasselborg,SWE,LOST,4
Meridian Canadian Open,Curling,Team,Women,1/18/18,Casey Scheidegger,CAN,WON,6,Val Sweeting,CAN,LOST,4
Meridian Canadian Open,Curling,Team,Women,1/18/18,EunJung Kim,KOR,WON,7,Alina Paetz,SUI,LOST,4
Meridian Canadian Open,Curling,Team,Women,1/19/18,Jennifer Jones,CAN,WON,9,Kerri Einarson,CAN,LOST,3
